subscription_id,subscription_type,date_of_beginning,date_of_ending,price
261,базовая,2025-02-24,2025-08-04,500
262,стандарт,2023-10-31,2024-01-02,700
263,базовая,2024-08-01,2024-08-19,500
264,базовая,2025-01-08,2025-06-10,500
265,семейная,2024-05-20,2024-06-14,900
266,студенческая,2023-10-09,2023-11-02,450
267,семейная,2025-03-16,2025-04-15,900
268,премиум,2025-04-02,2025-12-31,1200
269,семейная,2024-02-07,2024-04-11,900
270,базовая,2024-06-10,2024-06-16,500
271,премиум,2024-01-24,2024-05-20,1200
272,премиум,2024-03-28,2025-01-01,1200
273,базовая,2024-05-23,2024-11-26,500
274,студенческая,2024-06-13,2024-06-29,450
275,базовая,2023-05-30,2023-09-09,500
276,базовая,2025-03-05,2025-03-23,500
277,стандарт,2023-10-03,2023-10-22,700
278,премиум,2024-01-31,2024-02-07,1200
279,базовая,2024-07-13,2025-03-10,500
280,базовая,2025-04-05,2025-08-19,500
281,семейная,2023-07-22,2023-08-14,900
282,студенческая,2025-01-17,2025-02-17,450
283,базовая,2023-06-23,2023-07-02,500
284,семейная,2024-08-01,2024-08-11,900
285,стандарт,2025-02-16,2025-07-11,700
286,студенческая,2024-09-07,2024-09-27,450
287,базовая,2024-02-16,2024-02-25,500
288,семейная,2024-05-02,2024-05-15,900
289,стандарт,2024-12-25,2025-03-23,700
290,премиум,2023-11-26,2023-12-04,1200
291,студенческая,2025-02-01,2025-06-06,450
292,премиум,2023-08-08,2023-08-21,1200
293,стандарт,2024-07-15,2024-08-08,700
294,базовая,2024-06-03,2024-09-03,500
295,премиум,2024-10-26,2024-12-20,1200
296,студенческая,2025-02-17,2025-03-06,450
297,студенческая,2025-01-17,2025-02-07,450
298,базовая,2024-01-04,2024-01-23,500
299,студенческая,2024-05-20,2025-01-27,450
300,семейная,2024-04-27,2024-04-29,900
301,премиум,2024-10-26,2024-11-26,1200
302,стандарт,2024-08-03,2024-09-09,700
303,базовая,2024-05-02,2024-05-21,500
304,студенческая,2023-09-04,2024-04-18,450
305,студенческая,2023-11-14,2023-11-15,450
306,студенческая,2024-03-15,2024-04-25,450
307,семейная,2024-10-06,2025-06-25,900
308,студенческая,2025-03-17,2025-04-06,450
309,базовая,2024-04-22,2024-07-23,500
310,базовая,2024-12-28,2025-07-06,500
311,студенческая,2024-08-06,2024-08-28,450
312,студенческая,2024-06-29,2024-08-07,450
313,стандарт,2024-06-19,2024-07-06,700
314,студенческая,2024-08-28,2025-08-01,450
315,семейная,2024-07-20,2024-10-07,900
316,премиум,2023-12-22,2024-06-13,1200
317,базовая,2024-01-26,2024-02-10,500
318,базовая,2024-09-13,2024-10-05,500
319,премиум,2024-06-20,2024-10-27,1200
320,премиум,2025-03-19,2026-02-19,1200
321,студенческая,2023-06-28,2023-10-30,450
322,базовая,2024-01-10,2024-01-20,500
323,семейная,2025-02-05,2025-02-07,900
324,семейная,2025-04-30,2025-05-08,900
325,семейная,2023-09-16,2023-10-11,900
326,базовая,2025-03-31,2025-04-03,500
327,семейная,2023-12-17,2024-06-09,900
328,семейная,2023-06-25,2023-11-29,900
329,базовая,2023-07-02,2023-07-15,500
330,базовая,2023-08-14,2023-08-15,500
331,базовая,2024-03-05,2024-03-07,500
332,премиум,2023-10-14,2023-12-01,1200
333,семейная,2024-11-10,2025-04-05,900
334,стандарт,2023-07-16,2023-08-13,700
335,семейная,2024-09-12,2024-12-11,900
336,стандарт,2025-02-28,2025-05-09,700
337,базовая,2023-08-26,2023-08-29,500
338,студенческая,2024-07-13,2024-10-04,450
339,премиум,2025-01-18,2025-05-04,1200
340,стандарт,2024-11-24,2024-12-08,700
341,студенческая,2024-08-02,2024-08-16,450
342,премиум,2024-10-04,2024-11-02,1200
343,базовая,2024-03-27,2024-09-22,500
344,базовая,2024-07-25,2024-08-24,500
345,премиум,2023-11-17,2023-12-11,1200
346,базовая,2023-10-18,2024-02-25,500
347,стандарт,2024-07-14,2024-07-23,700
348,базовая,2025-01-03,2025-02-01,500
349,премиум,2024-10-08,2025-09-25,1200
350,базовая,2024-09-11,2025-08-08,500
351,стандарт,2024-07-20,2024-10-31,700
352,базовая,2025-05-19,2025-06-12,500
353,премиум,2024-12-12,2025-07-01,1200
354,базовая,2024-05-28,2024-10-10,500
355,семейная,2024-11-09,2025-01-06,900
356,студенческая,2024-02-21,2024-08-01,450
357,стандарт,2024-10-05,2025-05-31,700
358,премиум,2024-10-04,2025-09-26,1200
359,базовая,2024-11-19,2025-11-08,500
360,базовая,2025-04-03,2025-04-20,500
361,студенческая,2024-10-25,2025-01-08,450
362,базовая,2023-08-21,2024-02-12,500
363,семейная,2023-12-01,2024-01-05,900
364,базовая,2025-05-18,2025-07-24,500
365,стандарт,2024-07-02,2024-12-07,700
366,семейная,2023-12-06,2024-08-08,900
367,семейная,2023-12-28,2024-01-24,900
368,студенческая,2024-11-13,2024-12-01,450
369,базовая,2023-09-03,2024-08-15,500
370,семейная,2025-01-04,2025-01-28,900
371,семейная,2023-11-12,2024-01-02,900
372,стандарт,2023-09-09,2024-09-06,700
373,стандарт,2024-05-05,2025-04-02,700
374,премиум,2024-04-25,2024-09-19,1200
375,премиум,2024-07-15,2024-08-14,1200
376,премиум,2023-06-19,2023-07-17,1200
377,студенческая,2023-10-25,2024-06-20,450
378,семейная,2024-07-11,2024-07-29,900
379,семейная,2025-02-26,2025-10-05,900
380,премиум,2023-09-11,2023-10-03,1200
381,премиум,2023-08-14,2024-04-08,1200
382,семейная,2024-06-27,2024-07-25,900
383,стандарт,2024-01-01,2024-06-12,700
384,премиум,2024-02-02,2024-06-06,1200
385,семейная,2025-01-14,2025-02-11,900
386,стандарт,2024-10-13,2024-11-13,700
387,стандарт,2023-12-10,2024-05-30,700
388,премиум,2023-12-13,2023-12-15,1200
389,семейная,2024-11-29,2024-12-03,900
390,стандарт,2024-12-31,2025-01-24,700
391,студенческая,2023-10-27,2024-10-23,450
392,стандарт,2024-09-29,2025-01-06,700
393,студенческая,2023-07-04,2023-10-27,450
394,семейная,2025-01-27,2025-03-23,900
395,студенческая,2024-01-23,2024-12-11,450
396,премиум,2024-03-02,2024-03-23,1200
397,студенческая,2023-12-01,2023-12-02,450
398,стандарт,2024-12-11,2025-01-02,700
399,студенческая,2023-12-10,2024-04-21,450
400,студенческая,2024-02-06,2024-06-07,450
401,премиум,2024-08-26,2024-09-06,1200
402,семейная,2024-04-20,2024-05-06,900
403,стандарт,2024-09-05,2024-10-09,700
404,стандарт,2025-02-22,2025-07-15,700
405,премиум,2023-08-27,2024-07-17,1200
406,базовая,2024-05-19,2024-06-04,500
407,премиум,2023-07-11,2023-07-29,1200
408,базовая,2024-11-18,2025-03-23,500
409,базовая,2024-05-14,2024-09-17,500
410,премиум,2025-01-26,2025-06-10,1200
411,премиум,2023-08-26,2023-09-10,1200
412,премиум,2023-10-09,2023-10-22,1200
413,стандарт,2023-08-07,2023-10-17,700
414,стандарт,2023-07-22,2024-06-30,700
415,студенческая,2023-12-12,2024-01-11,450
416,премиум,2024-02-12,2024-03-24,1200
417,базовая,2024-11-18,2024-12-10,500
418,студенческая,2024-09-20,2025-02-12,450
419,студенческая,2024-05-31,2024-07-09,450
420,студенческая,2024-04-11,2024-04-24,450
421,стандарт,2024-04-09,2024-10-29,700
422,семейная,2023-05-20,2023-05-24,900
423,семейная,2024-05-24,2024-11-20,900
424,премиум,2023-10-05,2023-11-03,1200
425,стандарт,2025-02-15,2025-02-25,700
426,премиум,2024-01-23,2024-01-29,1200
427,студенческая,2025-03-07,2025-07-19,450
428,стандарт,2024-03-14,2024-03-27,700
429,семейная,2024-01-23,2024-02-09,900
430,семейная,2023-12-02,2023-12-18,900
431,семейная,2024-03-14,2024-05-27,900
432,базовая,2024-03-24,2024-08-26,500
433,семейная,2023-10-31,2023-11-19,900
434,семейная,2024-10-28,2024-11-07,900
435,студенческая,2024-08-11,2025-04-30,450
436,семейная,2024-08-10,2024-09-02,900
437,студенческая,2024-11-10,2024-12-01,450
438,стандарт,2024-09-02,2024-09-27,700
439,стандарт,2025-05-15,2025-07-21,700
440,семейная,2024-10-03,2024-10-27,900
441,базовая,2023-05-29,2023-06-27,500
442,семейная,2025-01-10,2025-01-23,900
443,студенческая,2024-06-13,2024-06-21,450
444,стандарт,2024-10-12,2025-05-22,700
445,стандарт,2023-11-08,2023-12-03,700
446,семейная,2024-08-04,2024-12-28,900
447,премиум,2025-04-05,2025-06-26,1200
448,семейная,2023-11-29,2024-05-03,900
449,студенческая,2024-07-20,2025-05-29,450
450,премиум,2024-08-27,2025-08-06,1200
451,семейная,2025-05-08,2026-02-20,900
452,премиум,2024-09-07,2024-11-15,1200
453,семейная,2024-01-03,2024-01-23,900
454,семейная,2024-05-20,2024-06-07,900
455,стандарт,2025-04-14,2025-04-22,700
456,премиум,2024-03-23,2024-08-19,1200
457,премиум,2023-08-31,2023-09-05,1200
458,студенческая,2024-02-11,2024-08-09,450
459,семейная,2023-06-15,2023-06-25,900
460,семейная,2024-07-01,2024-12-18,900
461,базовая,2023-11-07,2023-12-02,500
462,стандарт,2025-03-07,2025-06-22,700
463,семейная,2024-06-23,2024-09-20,900
464,семейная,2024-06-22,2024-07-20,900
465,стандарт,2024-05-20,2024-09-08,700
466,премиум,2025-04-11,2025-12-11,1200
467,базовая,2024-10-29,2025-08-03,500
468,семейная,2023-06-15,2023-08-19,900
469,базовая,2024-09-09,2024-09-26,500
470,премиум,2023-11-15,2024-01-15,1200
471,премиум,2023-09-01,2023-10-24,1200
472,базовая,2025-03-31,2025-05-26,500
473,базовая,2024-06-19,2024-07-01,500
474,студенческая,2024-06-16,2024-07-01,450
475,студенческая,2024-01-28,2024-02-23,450
476,премиум,2024-03-04,2024-04-03,1200
477,семейная,2024-09-10,2024-09-21,900
478,студенческая,2024-12-03,2025-01-27,450
479,базовая,2024-08-20,2024-12-09,500
480,премиум,2025-04-23,2025-06-02,1200
481,студенческая,2024-01-23,2024-01-25,450
482,базовая,2024-11-28,2024-12-01,500
483,премиум,2024-09-20,2025-01-10,1200
484,премиум,2023-10-11,2023-10-17,1200
485,премиум,2023-12-24,2024-01-12,1200
486,семейная,2025-04-28,2025-05-01,900
487,премиум,2023-06-17,2023-12-13,1200
488,премиум,2025-01-15,2025-02-15,1200
489,базовая,2024-01-22,2024-02-09,500
490,стандарт,2024-03-20,2024-09-16,700
491,премиум,2023-11-27,2023-11-29,1200
492,премиум,2025-01-22,2025-07-26,1200
493,стандарт,2024-10-24,2025-01-12,700
494,премиум,2023-11-14,2023-12-01,1200
495,семейная,2024-10-11,2024-10-20,900
496,семейная,2024-12-15,2025-05-03,900
497,семейная,2024-07-25,2025-02-16,900
498,стандарт,2025-01-26,2025-08-11,700
499,студенческая,2025-02-18,2025-04-05,450
500,премиум,2025-04-13,2025-05-31,1200
501,студенческая,2024-03-25,2024-04-17,450
502,стандарт,2024-09-25,2024-11-18,700
503,семейная,2024-08-20,2024-08-24,900
504,премиум,2024-03-22,2024-09-06,1200
505,базовая,2024-04-10,2024-09-13,500
506,премиум,2023-11-16,2023-12-05,1200
507,премиум,2025-01-22,2025-03-18,1200
508,студенческая,2024-03-24,2024-04-03,450
509,студенческая,2025-04-15,2025-05-08,450
510,премиум,2024-02-02,2024-04-27,1200
511,базовая,2025-02-21,2025-02-22,500
512,базовая,2023-12-07,2024-03-23,500
513,стандарт,2024-07-31,2024-10-12,700
514,семейная,2024-07-16,2024-08-16,900
515,премиум,2025-04-28,2025-10-22,1200
516,стандарт,2024-03-24,2024-04-13,700
517,студенческая,2023-08-20,2023-09-13,450
518,базовая,2025-04-15,2025-05-07,500
519,стандарт,2024-09-23,2024-10-04,700
520,премиум,2024-04-06,2024-07-12,1200
521,студенческая,2024-08-30,2024-12-08,450
522,семейная,2023-07-09,2023-08-05,900
523,студенческая,2023-12-25,2024-01-10,450
524,стандарт,2025-02-08,2025-04-25,700
525,премиум,2023-10-25,2023-11-08,1200
526,премиум,2024-08-19,2024-08-30,1200
527,студенческая,2023-10-04,2023-10-18,450
528,премиум,2025-02-15,2025-05-01,1200
529,премиум,2023-07-16,2023-07-23,1200
530,семейная,2023-11-07,2024-04-27,900
531,студенческая,2025-04-22,2025-07-03,450
532,базовая,2024-06-12,2024-06-18,500
533,семейная,2025-04-12,2025-04-22,900
534,базовая,2024-07-22,2025-07-20,500
535,базовая,2025-01-04,2025-02-04,500
536,семейная,2024-06-13,2024-06-27,900
537,студенческая,2023-11-18,2023-12-27,450
538,семейная,2025-02-03,2025-02-12,900
539,студенческая,2023-06-20,2023-06-30,450
540,семейная,2024-09-19,2024-10-02,900
541,студенческая,2024-03-27,2024-04-07,450
542,базовая,2024-04-05,2024-09-10,500
543,семейная,2024-04-25,2024-05-17,900
544,семейная,2023-06-21,2023-07-12,900
545,базовая,2025-03-28,2025-04-18,500
546,премиум,2024-07-15,2024-11-28,1200
547,студенческая,2024-04-01,2025-02-20,450
548,базовая,2024-12-25,2025-06-26,500
549,студенческая,2023-08-19,2024-02-11,450
550,премиум,2024-07-11,2024-08-11,1200
551,базовая,2025-01-15,2025-01-23,500
552,базовая,2024-10-29,2025-01-22,500
553,стандарт,2023-11-07,2024-01-24,700
554,семейная,2024-03-21,2024-03-31,900
555,стандарт,2024-07-16,2024-09-05,700
556,семейная,2024-06-06,2024-06-25,900
557,студенческая,2024-03-05,2024-04-26,450
558,семейная,2024-07-17,2024-07-30,900
559,премиум,2024-12-01,2025-10-26,1200
560,базовая,2023-05-26,2023-07-19,500
561,студенческая,2024-07-22,2024-07-31,450
562,студенческая,2025-03-10,2025-03-24,450
563,студенческая,2024-09-08,2024-09-16,450
564,базовая,2025-02-05,2025-06-14,500
565,семейная,2025-01-25,2025-03-10,900
566,базовая,2024-02-04,2024-02-16,500
567,семейная,2025-05-09,2025-05-26,900
568,студенческая,2025-03-05,2025-06-03,450
569,базовая,2024-08-05,2025-03-05,500
570,семейная,2024-06-06,2024-11-17,900
571,стандарт,2024-02-17,2024-03-17,700
572,стандарт,2024-07-29,2024-11-06,700
573,семейная,2023-08-03,2023-09-14,900
574,студенческая,2023-06-10,2023-07-05,450
575,базовая,2024-05-03,2024-05-20,500
576,семейная,2025-05-08,2025-10-14,900
577,премиум,2025-02-06,2025-02-10,1200
578,базовая,2023-07-31,2023-10-28,500
579,студенческая,2024-07-03,2025-06-11,450
580,базовая,2023-12-04,2023-12-22,500
581,стандарт,2024-05-30,2024-06-20,700
582,премиум,2024-04-30,2024-10-03,1200
583,семейная,2023-09-22,2024-09-13,900
584,базовая,2024-09-07,2025-08-06,500
585,студенческая,2025-05-15,2025-07-16,450
586,студенческая,2024-12-29,2025-01-03,450
587,семейная,2024-09-19,2025-01-09,900
588,премиум,2024-08-09,2024-12-30,1200
589,стандарт,2024-05-22,2024-06-03,700
590,семейная,2025-05-17,2025-06-05,900
591,студенческая,2023-09-25,2023-10-13,450
592,стандарт,2023-07-17,2024-03-18,700
593,премиум,2023-06-08,2023-08-30,1200
594,студенческая,2025-05-04,2025-05-29,450
595,базовая,2024-03-22,2024-10-20,500
596,премиум,2024-09-06,2024-09-09,1200
597,стандарт,2025-02-02,2025-02-20,700
598,стандарт,2025-04-11,2025-05-04,700
599,семейная,2025-02-17,2025-02-21,900
600,базовая,2023-06-06,2024-02-25,500
601,семейная,2024-01-06,2024-01-10,900
602,премиум,2023-10-04,2024-01-02,1200
603,базовая,2024-01-25,2024-02-03,500
604,премиум,2023-07-05,2023-12-03,1200
605,семейная,2023-05-28,2023-05-29,900
606,семейная,2024-03-10,2024-06-23,900
607,стандарт,2024-10-10,2024-10-19,700
608,студенческая,2023-05-27,2023-09-28,450
609,стандарт,2025-02-06,2025-09-17,700
610,базовая,2024-04-14,2024-04-16,500
611,премиум,2025-04-01,2025-04-18,1200
612,премиум,2024-02-10,2024-06-02,1200
613,премиум,2024-11-09,2024-11-14,1200
614,стандарт,2024-08-27,2024-09-21,700
615,стандарт,2025-04-03,2026-02-14,700
616,студенческая,2025-04-29,2025-05-27,450
617,семейная,2024-03-24,2024-04-20,900
